datetime,temperature,humidity,CO2_PPM,CH4_PPM,H2_PPM
07/13/2024 01:00:41,25.00,63,403.01,15.55,0.53
07/13/2024 01:00:41,25.00,63,402.93,15.75,0.52
07/13/2024 01:00:43,25.00,62,403.15,14.19,0.52
07/13/2024 01:00:46,25.00,61,403.36,13.21,0.52
07/13/2024 01:00:48,25.00,61,403.49,12.37,0.52
07/13/2024 01:00:51,25.00,61,403.68,11.70,0.52
07/13/2024 01:00:53,25.00,61,403.82,11.14,0.52
07/13/2024 01:00:55,25.00,61,403.97,10.65,0.52
07/13/2024 01:00:58,25.00,61,404.10,10.30,0.52
07/13/2024 01:01:00,25.00,61,404.21,9.97,0.52
07/13/2024 01:01:03,25.00,61,404.35,9.64,0.52
07/13/2024 01:01:05,25.00,60,404.44,9.48,0.52
07/13/2024 01:01:08,25.00,60,404.53,9.27,0.52
07/13/2024 01:01:10,25.00,60,404.65,9.06,0.52
07/13/2024 01:01:13,25.00,61,404.71,9.01,0.52
07/13/2024 01:01:15,25.00,61,404.90,8.81,0.52
07/13/2024 01:01:17,25.00,61,404.93,8.72,0.51
07/13/2024 01:01:20,25.00,61,405.03,8.67,0.52
07/13/2024 01:01:22,25.00,60,405.24,8.62,0.52
07/13/2024 01:01:25,25.00,61,405.35,8.52,0.51
07/13/2024 01:00:41,25.00,61,402.86,16.32,0.52
07/13/2024 01:00:43,25.00,61,402.93,16.14,0.52
07/13/2024 01:00:46,25.00,61,402.98,16.14,0.52
07/13/2024 01:00:48,25.00,61,403.06,15.87,0.52
07/13/2024 01:00:51,25.00,61,403.06,15.78,0.52
07/13/2024 01:00:53,25.00,61,403.10,15.52,0.52
07/13/2024 01:00:55,25.00,61,403.14,15.43,0.52
07/13/2024 01:00:58,25.00,60,403.19,15.34,0.52
07/13/2024 01:01:00,25.00,60,403.23,15.26,0.52
07/13/2024 01:01:03,25.00,60,403.23,15.09,0.52
07/13/2024 01:01:05,25.00,60,403.28,14.83,0.52
07/13/2024 01:01:08,25.00,60,403.28,14.58,0.52
07/13/2024 01:01:10,25.00,60,403.28,14.42,0.52
07/13/2024 01:01:13,25.00,60,403.32,14.34,0.51
07/13/2024 01:01:15,25.00,60,403.39,14.18,0.51
07/13/2024 01:01:17,25.00,60,403.41,14.10,0.51
07/13/2024 01:01:20,25.00,60,403.49,14.02,0.51
07/13/2024 01:01:22,25.00,60,403.49,13.86,0.51
07/13/2024 01:01:25,25.00,60,403.49,13.78,0.51
07/13/2024 01:01:27,25.00,60,403.56,13.62,0.51
07/13/2024 01:01:30,25.00,60,403.56,13.62,0.51
07/13/2024 01:01:32,25.00,60,403.61,13.62,0.51
07/13/2024 01:01:35,25.00,60,403.61,13.55,0.51
07/13/2024 01:01:37,25.00,60,403.66,13.55,0.51
07/13/2024 01:01:39,25.00,60,403.66,13.32,0.51
07/13/2024 01:01:42,25.00,60,403.71,13.24,0.51
07/13/2024 01:01:44,25.00,60,403.71,13.24,0.51
07/13/2024 01:01:47,25.00,60,403.77,13.02,0.51
07/13/2024 01:01:49,25.00,60,403.77,13.02,0.51
07/13/2024 01:01:52,25.00,60,403.82,13.02,0.51
07/13/2024 01:01:54,25.00,60,403.85,12.87,0.50
07/13/2024 01:01:57,25.00,60,403.88,12.72,0.50
07/13/2024 01:01:59,25.00,60,403.93,12.72,0.50
07/13/2024 01:02:02,25.00,60,403.90,12.72,0.50
07/13/2024 01:02:04,25.00,60,403.93,12.65,0.50
07/13/2024 01:02:06,25.00,60,403.93,12.58,0.50
07/13/2024 01:02:09,25.00,60,403.99,12.58,0.50
07/13/2024 01:02:11,25.00,60,404.04,12.51,0.50
07/13/2024 01:02:14,25.00,60,404.10,12.44,0.50
07/13/2024 01:02:16,25.00,60,404.07,12.37,0.50
07/13/2024 01:02:19,25.00,60,404.10,12.37,0.50
07/13/2024 01:02:21,25.00,60,404.16,12.37,0.50
07/13/2024 01:02:24,25.00,60,404.13,12.15,0.50
07/13/2024 01:02:26,25.00,60,404.16,12.15,0.50
07/13/2024 01:02:28,25.00,60,404.19,12.09,0.50
07/13/2024 01:02:31,25.00,60,404.22,12.09,0.50
07/13/2024 01:02:33,25.00,60,404.22,12.02,0.50
07/13/2024 01:02:36,25.00,60,404.25,12.02,0.50
07/13/2024 01:02:38,25.00,60,404.25,12.09,0.50
07/13/2024 01:02:41,25.00,61,404.28,12.02,0.50
07/13/2024 01:02:43,25.00,61,404.28,11.88,0.50
07/13/2024 01:02:46,25.00,61,404.31,11.95,0.49
07/13/2024 01:02:48,25.00,61,404.28,11.74,0.49
07/13/2024 01:02:50,25.00,61,404.28,11.74,0.49
07/13/2024 01:02:53,25.00,61,404.35,11.61,0.49
07/13/2024 01:02:55,25.00,61,404.35,11.61,0.49
07/13/2024 01:02:58,25.00,61,404.35,11.61,0.49
07/13/2024 01:03:00,25.00,61,404.38,11.48,0.49
07/13/2024 01:03:03,25.00,61,404.41,11.34,0.49
07/13/2024 01:03:05,25.00,61,404.35,11.34,0.49
07/13/2024 01:03:08,25.00,61,404.41,11.28,0.49
07/13/2024 01:03:10,25.00,61,404.35,11.34,0.49
07/13/2024 01:03:13,25.00,61,404.41,11.21,0.49
07/13/2024 01:03:15,25.00,61,404.41,11.15,0.49
07/13/2024 01:03:17,25.00,61,404.41,11.15,0.49
07/13/2024 01:03:20,25.00,61,404.41,11.09,0.49
07/13/2024 01:03:22,25.00,61,404.44,11.02,0.49
07/13/2024 01:03:25,25.00,61,404.41,10.96,0.49
07/13/2024 01:03:27,25.00,61,404.44,10.83,0.49
07/13/2024 01:03:30,25.00,61,404.44,10.77,0.49
07/13/2024 01:03:32,25.00,61,404.47,10.77,0.49
07/13/2024 01:03:35,25.00,61,404.47,10.71,0.48
07/13/2024 01:03:37,25.00,61,404.47,10.58,0.48
07/13/2024 01:03:39,25.00,61,404.47,10.58,0.48
07/13/2024 01:03:42,25.00,61,404.47,10.52,0.48
07/13/2024 01:03:44,25.00,61,404.51,10.46,0.48
07/13/2024 01:03:47,25.00,61,404.51,10.46,0.48
07/13/2024 01:03:49,25.00,61,404.54,10.46,0.48
07/13/2024 01:03:52,25.00,60,404.47,10.34,0.48
07/13/2024 01:03:54,25.00,60,404.51,10.40,0.48
07/13/2024 01:03:57,25.00,60,404.54,10.28,0.48
07/13/2024 01:03:59,25.00,60,404.54,10.22,0.48
07/13/2024 01:04:01,25.00,60,403.64,9.25,0.47
07/13/2024 01:04:04,25.00,60,403.74,9.20,0.47
07/13/2024 01:04:06,25.00,60,403.71,9.20,0.46
07/13/2024 01:04:09,25.00,60,403.71,9.09,0.46
07/13/2024 01:04:11,25.00,60,403.74,9.09,0.46
07/13/2024 01:04:14,25.00,60,403.71,8.99,0.46
07/13/2024 01:04:16,25.00,60,403.71,8.93,0.46
07/13/2024 01:04:19,25.00,60,403.71,8.93,0.46
07/13/2024 01:04:21,25.00,60,403.74,8.88,0.46
07/13/2024 01:04:24,25.00,60,403.71,8.88,0.46
07/13/2024 01:04:26,25.00,60,403.71,8.78,0.46
07/13/2024 01:04:28,25.00,60,403.71,8.78,0.46
07/13/2024 01:04:31,25.00,60,403.71,8.78,0.46
07/13/2024 01:04:33,25.00,60,403.71,8.72,0.46
07/13/2024 01:04:36,25.00,60,403.71,8.78,0.46
07/13/2024 01:04:38,25.00,60,403.71,8.78,0.46
07/13/2024 01:04:41,25.00,60,403.74,8.78,0.46
07/13/2024 01:04:43,25.00,60,403.74,8.72,0.46
07/13/2024 01:04:46,25.00,60,403.74,8.72,0.46
07/13/2024 01:04:48,25.00,60,403.77,8.67,0.46
07/13/2024 01:04:50,25.00,60,403.74,8.67,0.46
07/13/2024 01:04:53,25.00,60,403.77,8.67,0.46
07/13/2024 01:04:55,25.00,60,403.77,8.67,0.46
07/13/2024 01:04:58,25.00,60,403.77,8.62,0.46
07/13/2024 01:05:00,25.00,60,403.77,8.57,0.46
07/13/2024 01:05:03,24.00,61,403.71,8.62,0.46
07/13/2024 01:05:05,24.00,61,403.77,8.62,0.46
07/13/2024 01:05:08,24.00,61,403.77,8.52,0.46
07/13/2024 01:05:10,25.00,60,403.74,8.57,0.46
07/13/2024 01:05:12,24.00,61,403.74,8.47,0.46
07/13/2024 01:05:15,24.00,61,403.74,8.47,0.46
07/13/2024 01:05:17,24.00,61,403.74,8.47,0.45
07/13/2024 01:05:20,24.00,61,403.71,8.42,0.45
07/13/2024 01:05:22,24.00,61,403.74,8.37,0.45
07/13/2024 01:05:25,24.00,61,403.71,8.37,0.45
07/13/2024 01:05:27,24.00,61,403.74,8.42,0.45
07/13/2024 01:05:30,24.00,61,403.71,8.37,0.45
07/13/2024 01:05:32,24.00,61,403.74,8.32,0.45
07/13/2024 01:05:34,24.00,61,403.71,8.37,0.45
07/13/2024 01:05:37,24.00,61,403.71,8.27,0.45
07/13/2024 01:05:39,24.00,61,403.71,8.32,0.45
07/13/2024 01:05:42,24.00,61,403.71,8.22,0.45
07/13/2024 01:05:44,24.00,61,403.66,8.17,0.45
07/13/2024 01:05:47,24.00,61,403.69,8.17,0.45
07/13/2024 01:05:49,24.00,61,403.69,8.17,0.45
07/13/2024 01:05:52,24.00,61,403.69,8.13,0.45
07/13/2024 01:05:54,24.00,61,403.66,8.08,0.45
07/13/2024 01:05:57,24.00,61,403.69,8.17,0.45
07/13/2024 01:05:59,24.00,61,403.69,8.08,0.45
07/13/2024 01:06:01,24.00,61,403.69,8.08,0.45
07/13/2024 01:06:04,24.00,61,403.69,8.08,0.45
07/13/2024 01:06:06,24.00,61,403.66,8.03,0.45
07/13/2024 01:06:09,24.00,61,403.69,7.98,0.45
07/13/2024 01:06:11,24.00,61,403.71,7.98,0.45
07/13/2024 01:06:14,24.00,61,403.69,8.03,0.45
07/13/2024 01:06:16,24.00,61,403.71,8.08,0.45
07/13/2024 01:06:19,24.00,61,403.71,8.03,0.45
07/13/2024 01:06:21,24.00,61,403.71,7.98,0.45
07/13/2024 01:06:23,24.00,61,403.71,7.98,0.45
07/13/2024 01:06:26,24.00,61,403.69,7.93,0.45
07/13/2024 01:06:28,24.00,61,403.69,7.93,0.45
07/13/2024 01:06:31,24.00,61,403.69,7.93,0.45
07/13/2024 01:06:33,24.00,61,403.71,7.93,0.45
07/13/2024 01:06:36,24.00,61,403.66,7.89,0.45
07/13/2024 01:06:38,24.00,61,403.71,7.84,0.45
07/13/2024 01:06:41,24.00,61,403.71,7.93,0.45
07/13/2024 01:06:43,24.00,61,403.71,7.84,0.45
07/13/2024 01:06:45,24.00,62,403.71,7.84,0.45
07/13/2024 01:06:48,24.00,62,403.71,7.84,0.45
07/13/2024 01:06:50,24.00,62,403.71,7.89,0.45
07/13/2024 01:06:53,24.00,62,403.71,7.84,0.45
07/13/2024 01:06:55,24.00,62,403.69,7.79,0.45
07/13/2024 01:06:58,24.00,62,403.69,7.79,0.45
07/13/2024 01:07:00,24.00,62,403.74,7.79,0.45
07/13/2024 01:07:03,24.00,62,403.71,7.79,0.45
07/13/2024 01:07:05,24.00,62,403.71,7.84,0.44
07/13/2024 01:07:07,24.00,62,403.71,7.70,0.45
07/13/2024 01:07:10,24.00,62,403.71,7.75,0.44
07/13/2024 01:07:12,24.00,62,403.69,7.75,0.44
07/13/2024 01:07:15,24.00,62,403.71,7.75,0.44
07/13/2024 01:07:17,24.00,62,403.69,7.79,0.44
07/13/2024 01:07:20,24.00,62,403.71,7.79,0.44
07/13/2024 01:07:22,24.00,62,403.71,7.79,0.44
07/13/2024 01:07:25,24.00,62,403.71,7.70,0.44
07/13/2024 01:07:27,24.00,62,403.71,7.70,0.44
07/13/2024 01:07:30,24.00,62,403.71,7.70,0.44
07/13/2024 01:07:32,24.00,62,403.74,7.75,0.44
07/13/2024 01:07:34,24.00,62,403.74,7.70,0.44
07/13/2024 01:07:37,24.00,62,403.71,7.70,0.44
07/13/2024 01:07:39,24.00,62,403.71,7.70,0.44
07/13/2024 01:07:42,24.00,62,403.71,7.61,0.44
07/13/2024 01:07:44,24.00,62,403.71,7.65,0.44
07/13/2024 01:07:47,24.00,62,403.74,7.65,0.44
07/13/2024 01:07:49,24.00,62,403.71,7.65,0.44
07/13/2024 01:07:52,24.00,62,403.77,7.61,0.44
07/13/2024 01:07:54,24.00,62,403.77,7.61,0.44
07/13/2024 01:07:56,24.00,62,403.71,7.61,0.44
07/13/2024 01:07:59,24.00,62,403.74,7.65,0.44
07/13/2024 01:08:01,24.00,62,403.71,7.56,0.44
07/13/2024 01:08:04,24.00,62,403.71,7.52,0.44
07/13/2024 01:08:06,24.00,62,403.71,7.52,0.44
07/13/2024 01:08:09,24.00,62,403.71,7.52,0.44
07/13/2024 01:08:11,24.00,62,403.71,7.52,0.44
07/13/2024 01:08:14,24.00,62,403.69,7.52,0.44
07/13/2024 01:08:16,24.00,62,403.66,7.47,0.44
07/13/2024 01:08:18,24.00,62,403.69,7.47,0.44
07/13/2024 01:08:21,24.00,62,403.71,7.47,0.44
07/13/2024 01:08:23,24.00,62,403.71,7.52,0.44
07/13/2024 01:08:26,24.00,62,403.71,7.43,0.44
07/13/2024 01:08:28,24.00,62,403.74,7.43,0.44
07/13/2024 01:08:31,24.00,62,403.71,7.43,0.44
07/13/2024 01:08:33,24.00,62,403.71,7.43,0.44
07/13/2024 01:08:36,24.00,62,403.71,7.43,0.44
07/13/2024 01:08:38,24.00,62,403.71,7.43,0.44
07/13/2024 01:08:41,24.00,62,403.71,7.43,0.44
07/13/2024 01:08:43,24.00,62,403.74,7.38,0.44
07/13/2024 01:08:45,24.00,62,403.66,7.34,0.44
07/13/2024 01:08:48,24.00,62,403.64,7.34,0.44
07/13/2024 01:08:50,24.00,62,403.66,7.34,0.44
07/13/2024 01:08:53,24.00,62,403.66,7.30,0.44
07/13/2024 01:08:55,24.00,62,403.66,7.30,0.44
07/13/2024 01:08:58,24.00,62,403.66,7.30,0.44
07/13/2024 01:09:00,24.00,62,403.66,7.34,0.44
07/13/2024 01:09:03,24.00,62,403.66,7.34,0.44
07/13/2024 01:09:05,24.00,62,403.69,7.25,0.44
07/13/2024 01:09:07,24.00,62,403.69,7.34,0.44
07/13/2024 01:09:10,24.00,62,403.66,7.25,0.44
07/13/2024 01:09:12,24.00,62,403.66,7.30,0.44
07/13/2024 01:09:15,24.00,62,403.69,7.25,0.44
07/13/2024 01:09:17,24.00,62,403.66,7.25,0.44
07/13/2024 01:09:20,24.00,62,403.71,7.25,0.44
07/13/2024 01:09:22,24.00,62,403.71,7.25,0.44
07/13/2024 01:09:25,24.00,62,403.71,7.30,0.44
07/13/2024 01:09:27,24.00,62,403.69,7.34,0.44
07/13/2024 01:09:29,24.00,62,403.69,7.30,0.44
07/13/2024 01:09:32,24.00,62,403.74,7.30,0.44
07/13/2024 01:09:34,24.00,62,403.77,7.25,0.44
07/13/2024 01:09:37,24.00,62,403.77,7.25,0.44
