Seconds,CO2_PPM,CH4_PPM,H2_PPM
1,402.85,16.39,0.53
2,402.75,15.72,0.53
3,407.30,17.92,0.53
4,403.06,12.55,0.53
6,403.54,14.80,0.53
7,403.58,18.03,0.55
8,404.26,20.17,0.55
9,405.41,24.43,0.55
10,411.81,163.37,0.59
11,427.44,445.33,0.62
13,447.15,472.46,0.63
14,458.56,469.66,0.64
15,461.67,466.89,0.65
16,460.88,455.97,0.65
17,460.10,445.33,0.65
18,458.56,434.97,0.65
20,457.44,427.37,0.65
21,456.33,419.91,0.65
22,455.60,410.19,0.65
23,454.88,400.72,0.65
24,453.46,393.77,0.65
25,452.42,384.71,0.65
27,452.42,378.06,0.65
28,450.05,369.40,0.65
29,447.15,354.74,0.65
30,446.22,344.66,0.65
31,445.00,336.82,0.65
32,444.10,327.29,0.65
34,442.63,319.88,0.65
35,442.06,312.64,0.65
36,440.93,307.33,0.65
37,440.11,298.70,0.65
38,439.29,293.64,0.65
39,438.76,290.32,0.65
41,437.97,282.20,0.65
42,437.19,277.44,0.65
43,436.68,274.32,0.65
44,436.18,268.18,0.65
45,435.43,265.17,0.65
46,434.70,260.72,0.65
48,434.22,257.80,0.65
49,433.27,253.48,0.65
50,432.81,249.24,0.65
51,432.58,246.45,0.65
52,431.89,243.70,0.65
54,431.22,239.63,0.65
55,431.00,238.29,0.65
56,430.13,233.01,0.65
57,429.92,230.41,0.65
58,429.28,229.13,0.65
59,428.66,224.06,0.65
61,428.45,224.06,0.65
62,428.05,220.34,0.65
63,427.44,219.11,0.65
64,426.85,216.68,0.65
65,426.66,213.09,0.65
66,425.70,213.09,0.65
68,425.70,211.91,0.65
69,425.33,208.40,0.65
70,424.59,206.09,0.65
71,424.23,204.95,0.65
72,423.88,203.81,0.65
73,423.53,202.68,0.65

