Seconds,CO2_PPM,CH4_PPM,H2_PPM
1,402.85,16.28,0.53
2,402.85,16.28,0.53
3,402.79,16.43,0.53
4,402.74,16.28,0.52
5,402.79,16.28,0.53
6,402.79,16.43,0.52
8,402.79,16.43,0.53
9,402.79,16.43,0.53
10,402.74,16.28,0.53
11,402.79,16.58,0.53
12,402.79,16.28,0.52
13,405.58,21.60,0.54
14,405.24,21.60,0.54
15,405.16,21.60,0.54
17,405.24,21.60,0.54
18,405.24,21.41,0.54
19,405.58,22.16,0.54
20,405.24,21.78,0.54
21,405.24,21.60,0.54
22,405.24,21.78,0.54
23,404.55,20.69,0.53
24,404.55,20.16,0.53
26,404.62,19.98,0.53
27,404.62,19.98,0.53
28,404.47,19.98,0.53
29,404.55,20.16,0.53
30,404.47,19.98,0.53
31,404.40,19.98,0.53
32,404.62,24.51,0.54
33,406.29,23.51,0.53
35,404.62,19.64,0.52
36,409.83,19.29,0.53
37,406.02,24.72,0.54
38,406.02,24.92,0.54
39,406.11,24.72,0.54
40,406.11,24.72,0.54
41,406.97,24.11,0.54
42,406.48,23.90,0.54
44,406.29,23.90,0.54
45,406.11,23.51,0.54
46,406.02,23.11,0.54
47,405.84,23.11,0.54
48,405.93,24.72,0.55
49,405.58,24.11,0.55
50,405.67,24.51,0.55
51,405.67,24.11,0.55
53,405.67,24.31,0.55
54,405.75,24.72,0.55
55,405.75,24.92,0.55
56,405.84,26.40,0.54
57,407.70,25.55,0.54
58,407.38,25.76,0.54
59,409.70,26.84,0.54
60,409.08,27.06,0.54
62,407.17,27.51,0.55
63,407.49,30.06,0.55
64,407.38,29.34,0.55
65,404.93,27.73,0.55
66,404.55,27.06,0.54
67,404.19,25.34,0.54
68,404.12,25.13,0.54
69,403.92,26.19,0.55
71,403.92,25.97,0.55
72,403.92,25.97,0.55
73,403.98,26.19,0.55
74,403.92,25.97,0.55
75,403.98,25.97,0.55
76,403.92,25.97,0.55
77,403.92,25.97,0.55
78,403.92,25.76,0.55
80,403.92,26.40,0.55
81,403.78,25.55,0.55
82,403.85,25.97,0.55
83,403.85,25.97,0.55
84,403.92,25.55,0.55
85,404.55,25.97,0.55
86,403.18,21.05,0.54
87,403.85,19.64,0.55
